# GPU perf-identity A/B
started      : 2026-08-08T19:02:20.7127001-04:00
arm A (base) : C:\v2bt\release\deps\wukong_codegen_gpu-454bf719eed29436.exe
             : sha256 7F7CEECBBF412731554AFF52513AD921BE091578DD462ACA8B7289D1BAA8A9DC
arm C (ctrl) : C:\v2bt\release\deps\wukong_codegen_gpu-454bf719eed29436.exe   <- same binary as A; C/A is this run's noise floor
arm B (new)  : C:\Users\Quant\Documents\Programming\Projects\Compiler\Mercury\target\release\deps\wukong_codegen_gpu-454bf719eed29436.exe
             : sha256 2F0D86A5B5717587F44A8A48392511892A6F3E4C584B51727D4EF6A4C8222CD7
rounds       : 5 (plus a discarded warm-up round 0)
benches      : gemm_throughput, tensorcore_throughput, tensorcore_roofline_pct, flash_throughput, int8_swz_vs_handplaced, hbm_bandwidth, transformer_layer_throughput, resident_model_throughput, mega_vs_single_gemm, mega_vs_single_vmath, cubin_cache_compile_latency
power BEFORE : AC, not charging 87%
gpu   BEFORE : NVIDIA GeForce RTX 4050 Laptop GPU, 210 MHz, 405 MHz, 47, 2.03 W

== warm-up (DISCARDED)  19:02:20
   cubin_cache_compile_latency      C      165 ms
   cubin_cache_compile_latency      B      176 ms
== round 4  19:19:32
   gemm_throughput                  C     1837 ms
   gemm_throughput                  B     1810 ms
   gemm_throughput                  A     1743 ms
   tensorcore_throughput            C     8016 ms
   tensorcore_throughput            B     8156 ms
   tensorcore_throughput            A     7935 ms
   tensorcore_roofline_pct          C     2583 ms
   tensorcore_roofline_pct          B     1917 ms
   tensorcore_roofline_pct          A     2085 ms
   flash_throughput                 C      410 ms
   flash_throughput                 B      411 ms
   flash_throughput                 A      445 ms
   int8_swz_vs_handplaced           C    24226 ms
   int8_swz_vs_handplaced           B    23132 ms
   int8_swz_vs_handplaced           A    23589 ms
   hbm_bandwidth                    C     3567 ms
   hbm_bandwidth                    B     3335 ms
   hbm_bandwidth                    A     3142 ms
   transformer_layer_throughput     C    15285 ms
   transformer_layer_throughput     B    15133 ms
   transformer_layer_throughput     A    14625 ms
   resident_model_throughput        C    13928 ms
   resident_model_throughput        B    14881 ms
   resident_model_throughput        A    14163 ms
   mega_vs_single_gemm              C     5741 ms
   mega_vs_single_gemm              B     5733 ms
   mega_vs_single_gemm              A     5731 ms
   mega_vs_single_vmath             C    10952 ms
   mega_vs_single_vmath             B    10949 ms
   mega_vs_single_vmath             A    10947 ms
   cubin_cache_compile_latency      C      178 ms
   cubin_cache_compile_latency      B      168 ms
   cubin_cache_compile_latency      A      166 ms
== round 5  19:23:49
   gemm_throughput                  B     1786 ms
   gemm_throughput                  A     1829 ms
   gemm_throughput                  C     1915 ms
   tensorcore_throughput            B     8650 ms
   tensorcore_throughput            A     8439 ms
   tensorcore_throughput            C     8311 ms
   tensorcore_roofline_pct          B     2092 ms
   tensorcore_roofline_pct          A     2102 ms
   tensorcore_roofline_pct          C     1871 ms
   flash_throughput                 B      411 ms
   flash_throughput                 A      449 ms
   flash_throughput                 C      404 ms
   int8_swz_vs_handplaced           B    23923 ms
   int8_swz_vs_handplaced           A    23956 ms
   int8_swz_vs_handplaced           C    23277 ms
   hbm_bandwidth                    B     3706 ms
   hbm_bandwidth                    A     3119 ms
   hbm_bandwidth                    C     3114 ms
   transformer_layer_throughput     B    14131 ms
   transformer_layer_throughput     A    14799 ms
   transformer_layer_throughput     C    14082 ms
   resident_model_throughput        B    15435 ms
   resident_model_throughput        A    14816 ms
   resident_model_throughput        C    15131 ms
   mega_vs_single_gemm              B     5746 ms
   mega_vs_single_gemm              A     5726 ms
   mega_vs_single_gemm              C     5735 ms
   mega_vs_single_vmath             B    10937 ms
   mega_vs_single_vmath             A    10958 ms
   mega_vs_single_vmath             C    10955 ms
   cubin_cache_compile_latency      B      176 ms
   cubin_cache_compile_latency      A      177 ms
   cubin_cache_compile_latency      C      173 ms

power AFTER  : AC, not charging 97%
gpu   AFTER  : NVIDIA GeForce RTX 4050 Laptop GPU, 2415 MHz, 8001 MHz, 63, 19.04 W
finished     : 2026-08-08T19:28:08.3629954-04:00

Read the per-invocation files in bench\gpu\4050-identity. Compare B/A against the C/A control: a B/A ratio inside
the C/A spread is a TIE. Publish no size whose range does not clear that floor.
